iteration,rastrigin_seed0.csv,rastrigin_seed1.csv,rastrigin_seed10.csv,rastrigin_seed2.csv,rastrigin_seed3.csv,rastrigin_seed4.csv,rastrigin_seed5.csv,rastrigin_seed6.csv,rastrigin_seed7.csv,rastrigin_seed8.csv,rastrigin_seed9.csv,中央値,平均値,標準偏差
0,111.79638888674492,111.72424609825514,114.79867085523595,109.43376431343442,113.61257701307407,108.5025561756232,114.39321900545724,118.50963852768814,108.1426900673016,102.95286667003938,84.80517187676166,111.72424609825514,108.97016268087417,9.015431841166212
1,72.96934663238028,65.53102715172619,80.23281086732266,74.69389305329369,94.16987436329852,83.6627096405498,76.32415079214138,74.92649023635926,79.87907079812192,82.50453206358672,74.37845760147509,76.32415079214138,78.11566938184141,7.343532576334322
2,65.50579658793269,65.53102715172619,47.03068094200628,74.50708502690243,87.81169055860727,35.08939906131211,76.32415079214138,74.92649023635926,75.12063464106154,81.93563066500029,74.37845760147509,74.50708502690243,68.92373120586586,15.37352839649643
3,65.50579658793269,65.53102715172619,47.03068094200628,67.34168803514777,87.81169055860727,35.08939906131211,76.32415079214138,66.81831187686205,63.99832175845275,73.06901580561225,72.60275868003265,66.81831187686205,65.55662193180304,14.127929364839575
4,65.50579658793269,53.55130343699618,47.03068094200628,56.74885541616416,86.72295123268611,33.72755081794844,69.44954972469422,62.31432503804593,60.31276108678061,68.96827833520186,57.54926699999545,60.31276108678061,60.1710290562229,13.549511533871614
5,52.578958144360655,49.70594122738677,47.001386967796506,55.0725235186337,78.01424522080907,33.72755081794844,65.20532754937778,61.53436024532186,52.08024245302109,62.69758971699136,53.552353668933286,53.552353668933286,55.560952684598234,11.372347725833691
6,52.39480602687056,41.83567931641699,42.49718805122307,54.866592267269,75.12843916039657,24.08725059275717,58.16397842775501,61.05840881750297,51.33045429718014,61.838410644882806,49.43494475772921,52.39480602687056,52.05783203272577,13.190417296757534
7,48.70974315439359,39.10917733140574,38.41419980520381,36.29433791217395,64.49955005649177,22.232815693734395,49.72676618238589,59.225583191603626,47.44440986406564,61.838410644882806,40.0842558016553,47.44440986406564,46.14356814890877,12.61030727751104
8,39.41896321284416,35.62482358944739,34.42497168559501,34.64596189260851,56.01528726160368,21.20509314611627,48.9173486814698,58.59621080079549,38.30531575505336,61.838410644882806,40.0842558016553,39.41896321284416,42.64333113382471,12.317623916230284
9,37.29854115310327,34.52744082693479,33.0296979215519,29.733656695115485,50.05474058335365,19.769389838977347,44.54467838187541,57.67369093559458,33.1498878953325,46.17199497747756,38.36826584109014,37.29854115310327,38.574725913673326,10.48786534081809
10,29.67547097595373,33.02982762897321,28.712323671469235,27.409234129620856,45.70280600123415,18.338904389749278,42.110336666351394,53.39605536834147,29.272776775965998,43.11745014075724,37.273932078121376,33.02982762897321,35.276283438776176,10.06740226814348
11,27.951129116853775,31.0061855544931,27.01783762885528,25.94373086885166,45.21366031919406,17.698750181659705,39.26662317116423,52.00654150155527,24.18529164670429,43.11745014075724,31.52499449829591,31.0061855544931,33.17565405712587,10.395973490963485
12,26.95069462484884,29.2631632112296,26.82956489007134,24.48218343586862,45.21366031919406,17.36604180639506,36.68057897607558,48.07306358660082,20.743709030308292,40.895507902012426,30.007745935999974,29.2631632112296,31.50053761078224,9.96142863034817
13,26.26926171570628,28.936201350508423,26.241738197096964,23.88055439468974,44.8113857761009,17.209322653495406,35.24131325142392,46.36045713521666,18.106914387604448,39.85452772210416,28.873627490889604,28.873627490889604,30.525936734076048,9.907168783157791
14,26.1659665592874,28.495526114586028,25.91477244843816,23.786954181804347,43.70071561360336,14.193314429087636,29.419259058144576,45.72386369939494,17.577367734550165,38.88608634750442,26.938489667349685,26.938489667349685,29.16384689579552,9.96172093400081
15,25.901969057699134,27.328586238534086,25.21315019909564,23.5791176120964,43.11127803302234,13.653080052205794,28.046350328920997,44.99268026744959,17.04789770792857,38.06002214267152,24.192599065430244,25.901969057699134,28.284248245914032,9.949178630742027
16,25.606348780324097,25.06862912339004,25.073819147341496,23.28437496271465,42.945560967391096,12.90949999184366,27.65191454621214,44.55024127956318,16.92120570761557,37.49328350642381,22.46102150183484,25.073819147341496,27.633263592241324,10.061360416277752
17,25.29323609403859,25.06862912339004,24.614632749697705,22.995565022528083,42.80305763583834,12.6193745135501,27.04784796875916,44.14481415030322,16.77853167679598,36.354894998534704,20.53358947895869,25.06862912339004,27.114015764763145,10.062398417886188
