iteration,rastrigin_seed0.csv,rastrigin_seed1.csv,rastrigin_seed10.csv,rastrigin_seed2.csv,rastrigin_seed3.csv,rastrigin_seed4.csv,rastrigin_seed5.csv,rastrigin_seed6.csv,rastrigin_seed7.csv,rastrigin_seed8.csv,rastrigin_seed9.csv,中央値,平均�,標準偏差
0,111.7963889,111.7242461,114.7986709,109.4337643,113.612577,108.5025562,114.393219,118.5096385,108.1426901,102.9528667,84.80517188,111.7242461,108.9701627,9.015431841
1,80.02487854,80.66826689,65.90637842,94.50131448,93.44893411,86.30604364,72.62262649,88.19152566,87.49527127,45.10265366,71.14500033,80.66826689,78.67389941,14.43815487
2,55.82589332,73.1915267,54.10340267,69.38067443,84.89479596,74.06736026,53.48723963,77.49121354,81.17788747,45.10265366,64.10814351,69.38067443,66.62098101,12.9819334
3,53.63219539,69.43408797,54.10340267,69.38067443,73.84139876,59.45324433,53.48723963,75.99075709,53.96759537,45.10265366,56.86859085,56.86859085,60.47834911,10.03957691
4,53.63219539,69.43408797,54.10340267,69.38067443,64.76404356,59.45324433,53.48723963,75.99075709,53.96759537,45.10265366,56.86859085,56.86859085,59.653135,9.166440777
5,53.63219539,63.76745511,54.10340267,69.38067443,56.26041325,57.9962662,53.48624228,75.09649682,53.96759537,45.10265366,39.79827574,54.10340267,56.59924281,10.02524879
6,51.82736616,62.78400646,54.10340267,63.44340338,53.71396345,57.9962662,40.58761223,62.26119086,53.96759537,41.63764222,39.79827574,53.96759537,52.92006588,8.814466091
7,51.82736616,62.78400646,54.10340267,49.23468733,53.71396345,57.9962662,40.58761223,47.1108105,53.96759537,39.3804158,37.9356438,51.82736616,49.87652454,7.954661064
8,40.1688123,40.80403492,52.21939463,49.23468733,47.31605936,57.9962662,28.67755079,47.1108105,53.96759537,39.3804158,37.9356438,47.1108105,44.98284282,8.473742103
9,39.60288625,40.80403492,48.01618582,47.09963941,47.31605936,56.34902908,28.67755079,47.1108105,50.86820736,39.3804158,35.64514594,47.09963941,43.71545138,7.750235129
10,39.60288625,34.97516149,44.99678415,47.09963941,47.31605936,56.34902908,22.28627736,46.92548162,50.86820736,39.3804158,32.65135911,44.99678415,42.04102736,9.539464314
11,37.02507273,32.45551824,39.67240632,45.5143532,24.79591738,30.02174456,16.74634757,46.62333421,50.86820736,33.72173058,26.33845232,33.72173058,34.88937131,10.33675058
12,37.02507273,21.88139699,39.67240632,45.5143532,24.43986836,27.89103296,16.74634757,46.62333421,50.19808144,25.35128072,22.00056246,27.89103296,32.48579427,11.67246543
13,34.96981597,21.88139699,36.63170044,43.27677633,24.43986836,27.89103296,15.77836555,40.655077,50.19808144,20.12151056,22.00056246,27.89103296,30.713108,11.07228829
14,25.33752595,21.80339189,36.63170044,43.27677633,23.09376269,27.89103296,15.77836555,40.655077,50.19808144,16.56721328,20.56650913,25.33752595,29.25449424,11.61199437
15,19.8091247,21.80339189,36.63170044,41.37738471,23.09376269,27.89103296,13.59679141,40.655077,49.92816752,16.56721328,18.36250784,23.09376269,28.15601404,12.06151793
16,18.63424282,21.80339189,36.63170044,39.28316274,23.09376269,27.89103296,13.59679141,40.655077,47.673838,16.56721328,15.61263109,23.09376269,27.40389494,11.77677576
17,18.63424282,19.5803226,34.76936751,36.68196145,13.78467659,26.8553245,12.39217977,37.25848802,44.79782124,14.9632411,15.61263109,19.5803226,25.03002334,11.49374149
18,18.63424282,18.11221799,33.83803943,36.68196145,13.78467659,25.68106456,12.37007859,37.25848802,44.38289451,14.9632411,15.61263109,18.63424282,24.66541238,11.41008645
19,18.14188963,14.86334231,31.63877527,33.40549163,13.78467659,25.28914657,11.1569165,36.90361424,40.84431556,14.67594873,15.60638244,18.14188963,23.3009545,10.6668614
20,18.09869976,14.8410262,31.50201953,32.54897018,13.08099213,24.49209355,10.72634109,36.90361424,40.83335946,14.60866724,15.05412528,18.09869976,22.97180988,10.72472086
21,14.39014097,14.35107928,30.84949398,29.65331229,12.73024552,24.38811741,10.29542201,36.49464362,37.09193486,13.56736386,15.04294518,15.04294518,21.71406354,10.19020644
22,12.90299971,13.95066104,30.84949398,29.578764,12.63020181,24.12397013,8.506714566,33.87607407,35.75254179,13.39871852,14.92137176,14.92137176,20.95377376,9.999468373
23,12.78370219,13.90419169,30.34145742,29.23067166,11.53377818,23.86450215,8.002992517,33.87607407,34.41650134,13.01270259,14.14083769,14.14083769,20.46431014,9.965369933
24,9.91983827,13.90419169,29.56382422,28.27076304,10.56801012,23.69585836,8.002992517,32.97404449,34.41650134,12.75438465,13.72931107,13.90419169,19.79997452,10.06346111
25,9.133306572,13.81102811,29.22398588,28.22009149,9.145086506,23.10750706,7.622624855,31.23825769,34.04034214,12.31810792,12.67665848,13.81102811,19.13972697,10.08789896
26,9.133306572,13.81102811,29.17619024,27.85109653,8.144770441,22.92368862,7.303671506,30.84397399,33.25560111,12.01528622,12.50290712,13.81102811,18.81468368,10.0515264
27,9.133306572,13.69467986,29.08694039,27.45451044,7.518964594,22.78504301,6.68518229,29.0902309,33.20577304,11.80963358,12.17696543,13.69467986,18.42193001,9.973538676
28,8.566936533,13.69467986,28.88213278,27.05563385,6.556546506,22.24981599,6.556693134,28.6820693,32.09990617,11.74647747,12.10995383,13.69467986,18.01825868,9.872264692
29,8.159816562,13.54931029,28.88213278,27.05563385,6.427470029,21.57201882,6.498097785,27.89449321,30.66020813,11.38942589,12.08761062,13.54931029,17.65238345,9.651675423
30,7.986014513,13.38425046,28.82248513,26.7497944,5.746643986,21.37800453,6.379055609,26.92107295,30.66020813,11.2352215,11.42019085,13.38425046,17.33481291,9.674334339
31,7.695726602,13.38425046,28.50757872,26.58565777,5.621148475,21.16563393,6.379055609,26.43664716,30.61611584,11.11707117,11.39062868,13.38425046,17.17268313,9.611359859
32,7.639555548,13.15144271,28.38722648,26.53305925,5.450099512,21.03827668,6.254430224,25.81485755,29.87618218,11.0616261,11.39062868,13.15144271,16.96339863,9.478211776
33,7.627953049,13.15144271,28.31382354,26.26911063,5.42017398,20.91839685,6.245172388,24.70091038,29.85064856,11.0616261,11.39062868,13.15144271,16.81362608,9.340602906
34,7.563394099,13.13602686,28.1080422,26.24151158,5.339922607,20.66071751,6.242035294,24.68826824,29.59852333,11.05105133,11.38571504,13.13602686,16.72865528,9.283310597
35,7.338949281,13.11358654,28.06835687,26.21179821,5.320480888,20.52754044,6.145110164,24.07845468,29.42979185,11.03223206,11.30214804,13.11358654,16.59713173,9.237899591
36,7.231757493,13.04324274,28.03523595,26.14898724,5.27966168,20.42709426,6.12364802,23.65659441,29.42250773,11.02275009,11.27765254,13.04324274,16.51537565,9.211294606
37,7.099028296,13.03517672,27.99790591,26.0919418,5.260469112,20.41392111,6.119314317,23.50097954,29.3206244,11.01846558,11.23451221,13.03517672,16.46293991,9.193119835
38,7.071063787,13.01110537,27.98613835,26.0919418,5.25242232,20.32070256,6.090290825,23.27699995,29.30913355,11.00629725,11.16376193,13.01110537,16.4163507,9.181844207
39,7.071063787,12.9818882,27.98613835,26.05869264,5.252410029,20.2392914,6.074431736,23.26029892,29.23389138,10.9981271,11.12391608,12.9818882,16.38910451,9.168730671
40,7.039315971,12.9818882,27.96329746,26.0168004,5.248240196,20.18585188,6.046753752,23.20961932,29.15479224,10.9981271,11.04328168,12.9818882,16.35345165,9.155813393
41,7.036540302,12.97745425,27.96329746,25.95319522,5.238769089,20.17741446,6.032529026,23.15134826,29.13959093,10.99618066,11.01045263,12.97745425,16.33425203,9.147495766
42,7.03598764,12.96380919,27.94600246,25.95319522,5.238724935,20.14089474,6.03167893,23.09478218,29.1234876,10.97746057,11.00197982,12.96380919,16.31890939,9.139550051
43,7.00977632,12.96023868,27.93735792,25.95319522,5.217457139,20.12867173,6.025639596,23.08788387,29.10634948,10.96125961,10.99877839,12.96023868,16.30787345,9.142214591
44,7.007027871,12.95415684,27.93348735,25.93003343,5.193436125,20.0954167,6.022972111,23.03270833,29.07275141,10.96125961,10.98785235,12.95415684,16.29010019,9.133456869
45,7.001241981,12.95372048,27.92600644,25.92398019,5.183335436,20.08569777,6.021261292,23.03270833,29.03219467,10.95799747,10.98302383,12.95372048,16.28192435,9.128282921
46,7.001241981,12.95188019,27.92039261,25.91854261,5.183335436,20.05132323,6.020474148,23.03018869,29.03219467,10.95799747,10.97821637,12.95188019,16.27688977,9.1258135
