iteration,rastrigin_seed0_replace.csv,rastrigin_seed10_replace.csv,rastrigin_seed1_replace.csv,rastrigin_seed2_replace.csv,rastrigin_seed3_replace.csv,rastrigin_seed4_replace.csv,rastrigin_seed5_replace.csv,rastrigin_seed6_replace.csv,rastrigin_seed7_replace.csv,rastrigin_seed8_replace.csv,rastrigin_seed9_replace.csv,中央値,平均�,標準偏差
0,111.7963889,114.7986709,111.7242461,109.4337643,113.612577,108.5025562,114.393219,118.5096385,108.1426901,102.9528667,84.80517188,111.7242461,108.9701627,9.015431841
1,72.96934663,80.23281087,65.53102715,74.69389305,94.16987436,83.66270964,76.32415079,74.92649024,79.8790708,82.50453206,74.3784576,76.32415079,78.11566938,7.343532576
2,72.96934663,47.03068094,65.53102715,69.25747598,79.57492937,81.7050716,76.32415079,70.03675449,79.8790708,82.50453206,62.25735398,72.96934663,71.55185398,10.5500288
3,72.96934663,47.03068094,63.3012304,65.87110838,79.57492937,81.56345615,76.32415079,54.42195314,72.44601469,59.24248541,62.25735398,65.87110838,66.81842817,10.84758221
4,64.39649808,47.03068094,53.98364471,61.5134374,79.57492937,78.83034493,76.32415079,54.42195314,71.55827744,59.24248541,62.25735398,62.25735398,64.46670511,10.86815976
5,64.39649808,47.03068094,53.98364471,59.71668794,79.57492937,78.83034493,64.5995764,54.42195314,71.55827744,59.24248541,62.25735398,62.25735398,63.23749385,10.18728576
6,43.48160836,47.03068094,53.98364471,59.71668794,79.57492937,70.91584959,64.5995764,54.42195314,71.55827744,59.24248541,62.25735398,59.71668794,60.61664066,10.80288012
7,42.98971791,47.03068094,53.98364471,48.98643635,76.4525031,70.91584959,64.5995764,54.42195314,71.55827744,59.24248541,62.25735398,59.24248541,59.312589,10.91432439
8,42.79535359,47.03068094,48.23261548,48.98643635,76.4525031,58.05433338,60.13129702,54.42195314,71.55827744,59.24248541,62.25735398,58.05433338,57.19666271,10.40381129
9,42.79535359,47.03068094,38.86331601,48.98643635,76.4525031,58.05433338,60.13129702,54.42195314,68.24587042,55.0151694,61.53122011,55.0151694,55.59346668,11.04290753
10,42.79535359,47.03068094,38.86331601,48.98643635,62.77478975,56.75485471,60.13129702,51.38989505,67.59420109,55.0151694,56.61124314,55.0151694,53.44974882,8.641082486
11,42.79535359,47.03068094,38.86331601,44.56437699,62.77478975,56.75485471,60.13129702,51.38989505,67.59420109,55.0151694,56.61124314,55.0151694,53.04774343,8.966236936
12,42.79535359,45.28873781,38.86331601,44.56437699,62.77478975,56.75485471,60.13129702,51.38989505,67.59420109,55.0151694,56.61124314,55.0151694,52.88938496,9.097556396
13,38.37766078,44.93741858,38.86331601,40.87227346,62.77478975,56.75485471,60.13129702,51.38989505,61.7989221,54.0472747,56.61124314,54.0472747,51.50535866,9.251077254
14,38.37766078,44.93741858,38.86331601,40.87227346,62.77478975,55.68040124,58.48376995,50.4319449,54.09970695,54.0472747,56.61124314,54.0472747,50.47089086,8.426922375
15,38.37766078,44.93741858,38.86331601,40.38907198,62.77478975,55.68040124,58.48376995,50.4319449,54.09970695,46.32799142,54.86225154,50.4319449,49.56621119,8.346197587
