iteration,rosenbrock_seed0.csv,rosenbrock_seed1.csv,rosenbrock_seed10.csv,rosenbrock_seed2.csv,rosenbrock_seed3.csv,rosenbrock_seed4.csv,rosenbrock_seed5.csv,rosenbrock_seed6.csv,rosenbrock_seed7.csv,rosenbrock_seed8.csv,rosenbrock_seed9.csv,中央値,平均値,標準偏差
0,498.35182704181545,686.6602491478793,609.7972162997172,676.4885577862948,1017.100700108842,1369.9912430138252,983.941713642481,792.3622603738295,994.3747255241466,732.0414572228792,588.5502129925314,732.0414572228792,813.6054693776583,254.21644871239798
1,192.36789524927676,286.94711649727475,229.59572909929375,104.6194416688116,212.00143698258404,83.06693746144461,306.05597825870785,280.0249242533123,313.1701489118076,295.35418555622925,148.3252022578645,229.59572909929375,222.8662723815097,82.38889506461474
2,128.73115090966155,94.21553859619866,185.76725647102444,60.20354259464528,140.78983083836948,83.06693746144461,143.00233255920082,168.55469882172886,158.3929647267872,72.73495183604608,56.31520597767574,128.73115090966155,117.43403734479843,45.84352270925233
3,124.52249321719408,42.80566705289015,89.38391032874192,52.19163832447671,42.09191789965755,83.06693746144461,112.03027912184402,131.59704076509416,96.22471153046106,48.237587614999214,45.899306567421256,83.06693746144461,78.9137718076568,34.327287013172
4,79.77527532444344,26.450954626688784,59.953670283877074,37.23131557054917,25.79443561720144,73.53836300376392,80.97418286908801,119.61337023687358,65.90476358702325,34.13052030132236,31.20326650796703,59.953670283877074,57.68819253898164,29.759960255191206
5,35.94424747475251,21.295689897503383,38.16924721622818,24.227375761189364,20.06895143969773,49.034479663979226,55.1802725174951,102.64698765859914,42.40804054378895,26.61525281181809,26.75329108319901,35.94424747475251,40.21307600620461,23.69031010868029
6,21.77057941663233,15.835232260390388,33.39661840518295,16.594284673235453,16.276249499533712,24.371484408518093,32.50906781207765,42.283375612071445,26.330871312364525,21.90484732468418,24.188586594178062,24.188586594178062,25.041927028988074,8.241187087033985
7,16.222303494469116,12.27376136509708,32.02818490331333,16.206735590946487,14.966953238369827,17.45284198352447,25.788503183632,36.56552727593453,20.32885190377048,21.43315275731619,21.036301869548268,20.32885190377048,21.300283415083797,7.46600805912529
8,15.0438059427578,11.438069118520351,25.572944592314315,14.106553472035714,13.654491588982724,13.4766104236729,18.256096854169314,30.82820637759738,19.58783583925892,19.063637347203866,15.335027902233424,15.335027902233424,17.85120722352243,5.820571175436202
9,14.823964634878257,10.747749259792313,23.72506453668278,11.67879883996364,12.80898310710835,12.11595387130249,13.750116760114144,29.24290210816353,17.496152327587087,7.263403637980163,12.97542687085528,12.97542687085528,15.148046904948002,6.267008840869984
10,14.43912608328925,10.26864179884469,22.237021731058032,11.157509334437362,12.559831388155906,12.031638064931444,11.42768508445311,27.316982155998463,14.794026438613,6.710910506740067,11.9770123437582,12.031638064931444,14.083671357298137,5.811439329950055
11,13.123915255873328,10.125192585080445,20.874279688185943,10.69120386820617,12.295448343061096,11.074008041710854,11.42768508445311,22.725824656694087,13.39232389152883,5.883071721921628,10.353513255227186,11.42768508445311,12.906042399267516,4.843508441821102
12,11.753030471330316,9.90633812154634,18.87153484797055,10.461233374080862,11.68220606877702,10.819626248491003,11.2934614433693,20.13475422093524,13.243595436774203,5.568698453192797,10.197751568134764,11.2934614433693,12.175657295872945,4.0989604086068505
13,11.001358206043673,9.774686962872844,16.46453685224828,10.126659101331164,11.426218223446153,10.72183303765219,10.927398792911804,18.36021792319795,12.828969180804693,5.235848038403511,10.090347956823909,10.927398792911804,11.541643115976015,3.4746696517533473
14,10.624097898061407,9.677414677937715,14.87619260902453,9.95256845886433,11.322955454512936,10.487492791064811,10.353977433210478,16.7305657719358,11.368726468545573,5.1004616104360245,9.923290497428711,10.487492791064811,10.947067606456574,2.961506456829299
15,10.488504233795595,9.402375461360306,13.694320852961152,9.67539308025733,11.10906503374563,10.336947948837205,9.917679625520847,16.509749964415516,11.309484001112285,5.020862201259033,9.853662058912304,10.336947948837205,10.665276769288836,2.8237528129931366
16,10.269801100847252,9.034009198975117,12.533697070514696,9.47459211511189,10.696129037990383,10.002593211050916,9.751533810636312,15.394069797907198,10.905411037661246,4.928920334255614,9.203899314673269,10.002593211050916,10.199514184511264,2.531313124904513
17,10.026440025111697,8.914171450408201,11.45433484326279,9.438505475233503,10.56781485609579,9.912370317380006,9.578323937449628,15.027160348376814,10.563431186575434,4.821083338640971,8.893357113611282,9.912370317380006,9.926999353831464,2.401978437067206
