iteration,rosenbrock_seed0.csv,rosenbrock_seed1.csv,rosenbrock_seed10.csv,rosenbrock_seed2.csv,rosenbrock_seed3.csv,rosenbrock_seed4.csv,rosenbrock_seed5.csv,rosenbrock_seed6.csv,rosenbrock_seed7.csv,rosenbrock_seed8.csv,rosenbrock_seed9.csv,中央値,平均値,標準偏差
0,498.35182704181545,686.6602491478793,609.7972162997172,676.4885577862948,1017.100700108842,1369.9912430138252,983.941713642481,792.3622603738295,994.3747255241466,732.0414572228792,588.5502129925314,732.0414572228792,813.6054693776583,254.21644871239798
1,188.2462091015761,156.08330909611507,139.0659904039199,115.27947860709004,325.9375175034113,179.8941991604479,345.6100835618113,313.8647884475166,199.27788368738865,134.20383908602733,176.3377552673555,179.8941991604479,206.7091867202418,82.33088646080898
2,142.91934324871835,119.99146117597572,98.34369418321783,80.50136320510579,135.43375492706826,67.50499528467842,59.43125873723676,209.34662794573296,80.00300988294025,128.4382071438947,82.90205947190682,98.34369418321783,109.52870683695234,43.63581656949975
3,117.2998747312126,77.58325572158593,79.2889896194612,69.29047135200211,74.46646487584287,38.59593175346737,42.59006637475797,143.3361110230416,54.357247915679714,42.36548852316144,56.05993086779711,69.29047135200211,72.29398479618273,32.65276181929113
4,77.77595342525828,47.66635672471459,51.11748234000454,44.28484320148388,44.79063922346233,37.76421065378904,30.6355821610051,141.1515144659224,53.2178213808497,33.114610771997945,56.05993086779711,47.66635672471459,56.14354047420772,30.964999649171357
5,58.800330514958986,28.50581455107806,44.659052522552045,37.02200392274582,20.940733281170424,22.787501880691494,21.55081593558409,85.96663737906113,46.34070397303807,24.255859504232664,45.63522342687752,37.02200392274582,39.67860699018093,19.86875900341552
6,47.5976209478751,28.50581455107806,29.244260836009893,33.11918140245263,12.61272422256674,22.319647496551323,15.204962124529835,81.26590794651892,34.50939791082449,21.66332604690557,24.763148915602905,28.50581455107806,31.891453854628676,18.996070017806236
7,45.19195138192207,24.34081787853014,25.50566801754057,30.374795839142795,12.61272422256674,17.66202149512521,11.419057977629691,80.32635338206944,30.950263491650038,19.25568583563997,20.4031324788098,24.34081787853014,28.91295200005695,19.5221471451694
8,27.75696102833381,22.76607600727956,19.98610333871668,26.291612860586,12.61272422256674,14.433797932745511,10.523495779398113,71.0057437398611,26.335731603617287,16.65040911101809,18.714719322962143,19.98610333871668,24.279761358825912,16.540507707638685
9,25.198216407340023,19.85967423868512,17.530561931589848,14.31120402988036,11.811636811256625,13.593984673074768,8.398896733169167,59.23330569600623,16.880835320856903,12.544308857239624,12.010257908440586,14.31120402988036,19.215716600685386,14.035000030175798
10,21.967626199291768,16.580948845602173,15.132924463822786,12.89894094540027,11.57748600127652,10.99129534664235,8.275983168658922,57.27610768301811,15.570135014208187,10.64547847538821,10.792277855598188,12.89894094540027,17.428109454446133,13.740026553649093
11,20.84033055341332,14.74678948716992,12.058561481583736,12.405076883190777,11.02456894899201,9.487609081148904,7.987181428958157,49.9323883236319,13.771241670593836,7.857105212842909,10.792277855598188,12.058561481583736,15.53664826610215,11.967743984160021
12,19.63945103026729,14.249304678771257,11.475526043263084,11.389688019675164,10.445929963784492,9.487609081148904,7.974256905357514,34.22190034334633,12.579550494192627,7.354636558911498,10.792277855598188,11.389688019675164,13.600920997665122,7.602606697518069
13,17.56376591006454,13.480422929411008,11.08675055740873,11.302507053092723,10.162593402445667,9.160333440762017,7.514566115938821,28.566103262906747,11.483922434690806,7.050986868916605,10.194443850153249,11.08675055740873,12.50603598416281,6.047021011792684
14,15.485676993659371,13.24294365067137,10.561485366696266,11.06115441040849,9.833030285374356,8.707827365389743,7.24231188854317,23.519932863159468,10.575621972174185,6.713776600884479,9.121117372229907,10.561485366696266,11.460443524471891,4.7178687861664175
15,11.930833122614215,12.753452086894148,10.233751741336926,10.6701666042349,9.82073750658618,8.707827365389743,7.241216126348894,19.71320649593243,10.368253967955685,6.340637387602093,9.036547032540692,10.233751741336926,10.619693585221446,3.545462705328654
16,10.935425453376018,12.543982730463537,10.044710662466183,10.270047360166728,9.764101788010423,8.556512699349398,7.18544708286839,18.999774750925347,10.090881457720606,6.013513506625227,8.725573018322182,10.044710662466183,10.284542773663095,3.3928253479724106
