iteration,rosenbrock_seed0.csv,rosenbrock_seed1.csv,rosenbrock_seed10.csv,rosenbrock_seed2.csv,rosenbrock_seed3.csv,rosenbrock_seed4.csv,rosenbrock_seed5.csv,rosenbrock_seed6.csv,rosenbrock_seed7.csv,rosenbrock_seed8.csv,rosenbrock_seed9.csv,中央値,平均値,標準偏差
0,498.35182704181545,686.6602491478793,609.7972162997172,676.4885577862948,1017.100700108842,1369.9912430138252,983.941713642481,792.3622603738295,994.3747255241466,732.0414572228792,588.5502129925314,732.0414572228792,813.6054693776583,254.21644871239798
1,126.97032544624145,130.32570944025645,137.68434884758838,188.997279119676,329.7974524281688,227.88826628884848,71.91352736233485,224.76573531222488,103.3664433433683,131.14754112921526,86.8341021787008,131.14754112921526,159.9718846269658,76.22154296416717
2,76.09146753353619,79.86515718209897,55.24106692149197,75.0670176304885,102.1513964185867,93.64905914409968,71.12187945829811,126.38006198215972,53.46667035437502,60.99022437714737,80.41591335216853,76.09146753353619,79.49453766858643,21.499530145757188
3,66.57345459426352,73.41433019247687,55.24106692149197,73.61553582715716,84.05398117597868,53.69508032448531,71.12187945829811,125.98082433541845,50.56140871165413,52.8523077438635,66.12439835140009,66.57345459426352,70.29402433058979,21.30432980423048
4,66.57345459426352,57.01661233406998,55.24106692149197,64.49180386707437,77.73777496009347,44.435622312381255,54.44702161521611,111.81152638370028,43.43171115273047,52.8523077438635,66.12439835140009,57.01661233406998,63.105754566935005,19.037032676165076
5,33.96880463910857,40.668126816458816,49.04168491225377,44.33626505813179,59.50476947192413,43.4956539700344,38.14749702619063,71.07267767974028,33.54040289015443,43.97305961723399,66.12439835140009,43.97305961723399,47.62484913023918,12.646935936571126
6,27.483058641951963,40.668126816458816,48.28246860844393,32.71260520485831,41.26144127480684,43.4956539700344,38.14749702619063,42.00996543341378,29.143709824454906,19.017914347725625,55.32377847693783,40.668126816458816,37.95874723866155,10.233276518037535
7,24.935016591081244,26.53263335561357,46.92910536765316,30.57982136889842,41.26144127480684,34.83696005161603,21.92803694121013,42.00996543341378,29.143709824454906,19.017914347725625,42.84808258525966,30.57982136889842,32.72933519470303,9.427037057368883
8,24.37764145456434,26.53263335561357,33.227162720426975,26.17669454115046,41.26144127480684,20.186317251091324,21.655170267011368,42.00996543341378,16.418792163657205,18.608494961540494,26.15379682883741,26.15379682883741,26.96437365928307,8.563371092428406
9,23.35458330288147,25.466982046668736,33.227162720426975,22.51743784145153,37.23204179322881,16.71287610904524,18.179301243155216,38.81757279391128,16.418792163657205,18.36263514445069,23.60722822909471,23.35458330288147,24.89969212617926,8.07491289672815
10,21.239208936027925,21.63214994840625,24.9647541858349,16.616265468320936,31.855358718201984,13.586223560542164,15.377682601178927,32.50655004847839,12.979645120870838,18.36263514445069,18.477871976308634,18.477871976308634,20.690758700783785,6.699240726834656
11,18.10625371679155,21.63214994840625,24.9647541858349,14.044437286416482,30.480006370648592,10.943100405623529,12.714806187997512,21.01374628899165,12.979645120870838,16.808054926976624,15.023635027468467,16.808054926976624,18.064599042366037,5.961224310423233
12,17.921152054050964,18.32699374820519,15.988877609309965,13.642522562160648,25.562683681863344,9.919129232681248,12.714806187997512,18.18042579187376,12.979645120870838,15.760866172583013,14.020940058033034,15.760866172583013,15.91073111087541,4.14295740694897
13,12.81499252524297,18.32699374820519,15.079206852578762,13.642522562160648,25.562683681863344,9.919129232681248,12.714806187997512,13.535992954354748,12.979645120870838,15.760866172583013,11.08536350260118,13.535992954354748,14.674745685558133,4.2575176042826195
14,10.683525632991405,14.5654842981726,13.587959763283148,11.7694710626262,23.0176641372417,9.775560375467784,11.733251057289973,13.065616051096628,12.756696043413722,14.200547932514214,9.056715613150413,12.756696043413722,13.110226542477072,3.7276347977025996
15,10.683525632991405,14.5654842981726,12.035923974466533,10.931633146360744,20.104015971826435,9.735695521917751,11.733251057289973,10.915866481220451,12.163898343709125,13.2832557679008,7.823949958415892,11.733251057289973,12.17968183220652,3.166449488761455
16,10.55886349879706,13.747685478533564,11.055197195214172,10.742501141040542,14.114384482017384,9.637853303763164,10.987579815943384,10.667598613197285,11.760207213308943,11.80568711154952,7.359460997761005,10.987579815943384,11.130638077375094,1.8377173378141451
17,10.179014958675424,12.947378187537163,10.525730938326712,10.742501141040542,14.114384482017384,9.581874140076614,10.987579815943384,10.376052444680903,11.760207213308943,11.528603575241466,7.359460997761005,10.742501141040542,10.918435263146321,1.7577016704277533
18,9.92985884911257,12.095298467605495,10.059285389371452,10.355788570507016,12.548881114785118,9.581874140076614,9.865993401265184,10.037716109638197,11.006078442977245,10.500656379610612,7.34100542623146,10.059285389371452,10.302039662834632,1.3618331545821138
19,9.92985884911257,11.843558674515478,10.059285389371452,9.593616033518945,12.246005122111454,9.581874140076614,9.271531198528503,9.372650565503776,10.633700287747777,10.500656379610612,7.34100542623146,9.92985884911257,10.033976551484422,1.320063632781047
20,9.826570290221134,11.371922441977947,10.002943401985585,9.419407671921777,10.861820490663437,9.523745490207922,8.757169638851483,9.372650565503776,10.10020092673369,10.036370954012458,7.34100542623146,9.826570290221134,9.692164299846423,1.0581265007559517
