iteration,rosenbrock_seed0.csv,rosenbrock_seed1.csv,rosenbrock_seed10.csv,rosenbrock_seed2.csv,rosenbrock_seed3.csv,rosenbrock_seed4.csv,rosenbrock_seed5.csv,rosenbrock_seed6.csv,rosenbrock_seed7.csv,rosenbrock_seed8.csv,rosenbrock_seed9.csv,中央値,平均値,標準偏差
0,498.35182704181545,686.6602491478793,609.7972162997172,676.4885577862948,1017.100700108842,1369.9912430138252,983.941713642481,792.3622603738295,994.3747255241466,732.0414572228792,588.5502129925314,732.0414572228792,813.6054693776583,254.21644871239798
1,192.36789524927676,286.94711649727475,229.59572909929375,104.6194416688116,212.00143698258404,83.06693746144461,306.05597825870785,280.0249242533123,313.1701489118076,295.35418555622925,148.3252022578645,229.59572909929375,222.8662723815097,82.38889506461474
2,159.34525747294222,250.1150021649416,157.8261998099978,54.50318367315644,118.91622892808468,80.6007046411764,206.6374190630964,135.81395394742177,188.9565383560502,179.60499467256193,65.02402831981222,157.8261998099978,145.21304645902197,61.51882815515953
3,98.2143829228582,118.43244126298995,98.49679983123649,48.84030280390545,90.46969286084531,40.71593780624456,181.92450674111623,135.81395394742177,136.91237387173737,99.14771048580106,65.02402831981222,98.49679983123649,101.27201189581533,41.38958638840006
4,46.301909612532185,93.87982342153008,91.97193060704586,48.84030280390545,62.52308780591097,40.71593780624456,124.446165949283,135.81395394742177,100.84114975056671,76.87024852507086,65.02402831981222,76.87024852507086,80.65713986812032,31.694608697731294
5,41.236812729085614,50.56824668791027,76.5060182953426,48.84030280390545,62.52308780591097,40.71593780624456,112.2166984935304,135.81395394742177,86.01946996271053,76.87024852507086,54.17998170203165,62.52308780591097,71.4082507962877,30.42111693698801
6,41.236812729085614,44.631756216154216,58.90748953451481,32.42603234065554,56.20550075461353,40.71593780624456,33.639013082443924,96.7148103517957,86.01946996271053,76.87024852507086,46.51435620382821,46.51435620382821,55.807402500647044,21.74634147193162
7,31.39884795489144,42.993168931836266,56.34155465534389,32.42603234065554,56.20550075461353,39.46457003336339,33.639013082443924,96.7148103517957,53.41238839074433,71.09821210584835,46.00053468977706,46.00053468977706,50.881330299210305,19.51370701425151
8,31.39884795489144,42.993168931836266,56.164782794995645,29.583816979985123,56.20550075461353,39.46457003336339,33.639013082443924,96.7148103517957,51.00162050353699,58.22589868199949,36.841340963752046,42.993168931836266,48.38485191211032,19.137674262943367
9,31.39884795489144,38.87505208392972,45.80085507422326,29.583816979985123,50.54817709809792,34.941776155178594,31.79254220891921,81.9115406893477,48.55923410311567,31.81766789277882,32.78924331090947,34.941776155178594,41.63806850467063,15.29990684287994
10,29.88938663904458,38.87505208392972,44.29813918974682,21.251022049009308,48.79608181673487,32.438040812674465,27.498958462433738,56.80122059329392,48.55923410311567,30.71007296366472,32.690509346235906,32.690509346235906,37.43706527817125,10.896496814085028
11,25.907824647447256,34.61834918998622,44.29813918974682,21.251022049009308,41.71650675801283,32.438040812674465,27.498958462433738,56.80122059329392,41.15307279400431,30.71007296366472,25.93633905854565,32.438040812674465,34.75723150171084,10.38894828628221
12,18.600191760340564,32.765487006754626,39.522773342027605,21.23695920265761,41.71650675801283,32.438040812674465,27.498958462433738,51.950169683589294,41.15307279400431,30.71007296366472,25.93633905854565,32.438040812674465,33.04805198588231,9.877120635919214
13,18.600191760340564,32.14556243538005,30.864817357782076,21.23695920265761,40.662931062018096,29.8643191619982,24.66572224988842,49.60115447389516,30.947488303414648,30.71007296366472,25.93633905854565,30.71007296366472,30.47595982087138,8.682727139414956
14,15.059768616229436,32.14556243538005,30.864817357782076,18.88045154601418,37.64197092449909,29.34593046040979,24.4880373354464,49.60115447389516,30.947488303414648,30.71007296366472,22.377966702728465,30.71007296366472,29.278474647224,9.377587518375321
15,15.059768616229436,30.848088750600013,21.88122564534278,15.57930240043499,34.24553562790383,24.26133549152082,23.77102134498089,49.60115447389516,30.947488303414648,29.856399747222348,22.377966702728465,24.26133549152082,27.12993519129758,9.696219954946613
16,14.867578800519444,28.350823973405006,17.63744991035571,15.424433387672698,34.24553562790383,23.0856778311798,22.113120366928293,32.53882262842213,26.79208886719479,29.856399747222348,18.0002182045522,23.0856778311798,23.901104485941474,6.903730446818055
17,12.554759478797106,22.921398138929703,17.63744991035571,15.424433387672698,29.811535482799805,23.0856778311798,22.113120366928293,27.92534550704205,23.499445111379217,24.91514142645562,18.0002182045522,22.921398138929703,21.626229531462926,5.242715448446692
